states	acres	ha
KS	KS	8500	3439.82795904
OK	OK	4700	1902.022518528
TX	TX	3500	1416.39974784
WA	WA	1750	708.19987392
CO	CO	1700	687.965591808
NE	NE	1650	667.731309696
MT	MT	1630	659.6375968512
SD	SD	1250	505.8570528
Other	Other	1105	447.1776346752
MO	MO	930	376.3576472832
IL	IL	900	364.217078016
OH	OH	890	360.1702215936
OR	OR	780	315.6548009472
ID	ID	700	283.279949568
MI	MI	640	258.9988110336
AR	AR	620	250.9050981888
NC	NC	460	186.1553954304
IN	IN	440	178.0616825856
KY	KY	380	153.7805440512
CA	CA	320	129.4994055168
TN	TN	280	113.3119798272
WI	WI	225	91.054269504
GA	GA	190	76.8902720256
SC	SC	180	72.8434156032
VA	VA	180	72.8434156032
MD	MD	145	58.6794181248
MS	MS	135	54.6325617024
PA	PA	135	54.6325617024
NY	NY	100	40.468564224
DE	DE	47	19.02022518528
